Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
datasetWeka,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18370.0,2042.0,1945.0,97.0,0.0,95.24975514201763,4.75024485798237,0.0,0.5280378953588672,0.0861655239960826,0.19646571128338966,80.54096222000007,84.87605896939337,642.4908510262522,1482.443143219884,-839.9522921936317,0.3146380269472342,0.7259760740547914,-0.41133804710755717,-342.05299703889375,-0.16750881343726431,-53.23857864941292,0.9787123572170301,1885.0,0.4827586206896552,56.0,0.5172413793103449,60.0,0.021287642782969886,41.0,0.9711488923235445,0.9787123572170301,0.9749159555210757,0.5294498724528872,0.9099818276220145,0.9925048237750137,0.9524975514201763,0.4565438148928014,0.5434561851071987,0.047502448579823706,0.9497275502959136,0.9524975514201763,0.9509478921505288,0.5294498724528872,0.9099818276220145,0.970886911800871,0.7639556736130724,0.9524975514201763,2.854,0.055,2.8148372100000003,0.055477432,2814.83721,55.477432,1.1234891E7,3621010.0,404394.0,99.21645445641528,64.49559255631733,?
datasetWeka,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18370.0,2042.0,1955.0,87.0,0.0,95.73947110675807,4.260528893241919,0.0,0.5692630721410524,0.07905974534769862,0.18769909442768118,73.89902211308217,81.08875234806692,642.4908510262522,5721.309099706816,-5078.818248680564,0.3146380269472342,2.8018164053412415,-2.487178378394008,-237.71508898387614,-0.11641287413510096,-36.998984281904285,0.9823468328141225,1892.0,0.45689655172413796,53.0,0.5431034482758621,63.0,0.017653167185877467,34.0,0.9727506426735218,0.9823468328141225,0.977525187290106,0.5717986092860099,0.9065689118057794,0.9907777606161834,0.9573947110675808,0.4319444299775962,0.5680555700224038,0.042605288932419196,0.9543868481756954,0.9573947110675808,0.9555990347848203,0.5717986092860099,0.9065689118057795,0.9703426577574791,0.784537241532377,0.9573947110675808,2.903,0.045,2.850578058,0.045169638,2850.578058,45.169638,1.1266946E7,3621010.0,404394.0,99.26542605288932,63.222331047992164,?
datasetWeka,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1945.0,96.0,0.0,95.29642332190103,4.703576678098971,0.0,0.51830071786803,0.08864282214600701,0.19598643075148495,83.13961421118896,84.99464091876436,638.348814551539,3610.9358301246134,-2972.5870155730745,0.31276277048091083,1.7691993288214667,-1.4564365583405559,-380.97877637693415,-0.1866628007726282,-59.68191178432504,0.980269989615784,1888.0,0.5043478260869565,58.0,0.4956521739130435,57.0,0.01973001038421599,38.0,0.9701952723535457,0.980269989615784,0.975206611570248,0.5209304825525269,0.9092442096708655,0.9919741457310297,0.9529642332190102,0.47704206969018276,0.5229579303098173,0.04703576678098971,0.9493366460327923,0.9529642332190102,0.9508459114712734,0.5209304825525269,0.9092442096708654,0.9697594554011243,0.7590318772136955,0.9529642332190102,2.77,0.048,2.724630046,0.048050005,2724.630046,48.050005,1.1193285E7,3621207.0,404197.0,99.41205291523762,65.31112199902009,?
datasetWeka,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1945.0,96.0,0.0,95.29642332190103,4.703576678098971,0.0,0.5050796425305761,0.08536501714845694,0.19331845105391096,80.06530501887839,83.8376017528162,638.348814551539,3605.603550405822,-2967.254735854283,0.31276277048091083,1.7665867468916325,-1.4538239764107217,-330.88935168827095,-0.16212119142002496,-51.8351948253764,0.9818276220145379,1891.0,0.5304347826086957,61.0,0.46956521739130436,54.0,0.018172377985462097,35.0,0.96875,0.9818276220145379,0.9752449716348633,0.5096790904145667,0.9036909115535691,0.991423171642089,0.9529642332190102,0.5015713938131682,0.49842860618683194,0.04703576678098971,0.9483526609009684,0.9529642332190102,0.9501245312640487,0.5096790904145667,0.9036909115535691,0.9680340301267036,0.7523283681703729,0.9529642332190102,2.757,0.048,2.710200054,0.047761982,2710.200054,47.761982,1.1234028E7,3621207.0,404197.0,99.41205291523762,64.89465948064674,?
datasetWeka,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1950.0,91.0,0.0,95.54140127388536,4.45859872611465,0.0,0.5494076803827332,0.08324840764331232,0.18882693132892997,78.08010087675838,81.88973676675305,638.348814551539,2517.1001216764616,-1878.7513071249227,0.31276277048091083,1.2332680654955717,-0.9205052950146608,-309.7625712234135,-0.15177000059941867,-48.52559668980224,0.9807892004153687,1889.0,0.46956521739130436,54.0,0.5304347826086957,61.0,0.01921079958463136,37.0,0.9722079258878024,0.9807892004153687,0.9764797105195141,0.5513645543123584,0.922143211883155,0.9932316494898034,0.9554140127388535,0.44419002971478916,0.5558099702852108,0.044585987261146494,0.9525007829068929,0.9554140127388535,0.9537327129159838,0.5513645543123584,0.9221432118831551,0.972991700332338,0.7746248317855786,0.9554140127388535,2.772,0.051,2.730529732,0.050852668999999996,2730.529732,50.852669,1.1352228E7,3621207.0,404197.0,99.55903968642822,64.74767270945615,?
datasetWeka,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1946.0,95.0,0.0,95.34541891229789,4.654581087702107,0.0,0.5296014245753811,0.08217050465458124,0.1911397261284493,77.06911728586392,82.89274071325174,638.348814551539,384.9150742768924,253.4337402746466,0.31276277048091083,0.18859141316849212,0.12417135731241871,-262.77032702461497,-0.12874587311348112,-41.16406595181347,0.9797507788161994,1887.0,0.48695652173913045,56.0,0.5130434782608696,59.0,0.020249221183800622,39.0,0.9711785898095728,0.9797507788161994,0.975445851641251,0.531487752811859,0.9316425120772946,0.9949675213611016,0.953454189122979,0.46065993204591,0.5393400679540901,0.04654581087702107,0.9503795481875494,0.953454189122979,0.951698986011192,0.531487752811859,0.9316425120772946,0.9728505270450536,0.7647182309849447,0.953454189122979,2.772,0.059,2.731935265,0.058990918999999996,2731.935265,58.990919,1.1340909E7,3621207.0,404197.0,99.65703086722195,64.72317491425771,?
datasetWeka,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1948.0,93.0,0.0,95.44341009309163,4.556589906908378,0.0,0.5661883180549746,0.08321411073003457,0.19043054444782948,78.04793321704817,82.58518553170511,638.348814551539,4664.600018246477,-4026.251203694938,0.31276277048091083,2.2854483185921004,-1.9726855481111896,-319.2863924787732,-0.1564362530518242,-50.017542948377276,0.9766355140186916,1881.0,0.41739130434782606,48.0,0.5826086956521739,67.0,0.02336448598130841,45.0,0.9751166407465007,0.9766355140186916,0.9758754863813229,0.5662437645117406,0.9060228452751817,0.991180756959836,0.9544341009309162,0.3951898912600507,0.6048101087399492,0.04556589906908378,0.9538801043287131,0.9544341009309162,0.9541507346033778,0.5662437645117406,0.9060228452751817,0.9711719330948535,0.7830919282126878,0.9544341009309162,2.751,0.046,2.707136929,0.045526913,2707.136929,45.526913,1.1239573E7,3621207.0,404197.0,99.26506614404704,64.4781969622734,?
datasetWeka,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1943.0,98.0,0.0,95.1984321411073,4.8015678588926995,0.0,0.5332244288348,0.08542381185693315,0.19774611926029953,79.83128637890142,85.40954298394868,642.4068193055857,5754.798653958582,-5112.391834652996,0.31475101386848886,2.819597576657806,-2.504846562789317,-333.28421449178126,-0.16329456858979974,-51.88055364232391,0.9771428571428571,1881.0,0.46551724137931033,54.0,0.5344827586206896,62.0,0.022857142857142857,44.0,0.9720930232558139,0.9771428571428571,0.9746113989637305,0.5338303049596443,0.9027854903716973,0.9904674912154923,0.951984321411073,0.4403587056475262,0.5596412943524737,0.048015678588927,0.9500872740672295,0.951984321411073,0.9509650836834758,0.5338303049596442,0.9027854903716973,0.9686504043106602,0.7665849787611445,0.951984321411073,2.75,0.043,2.7085367639999998,0.043183746,2708.536764,43.183746,1.11709E7,3621207.0,404197.0,99.36305732484077,64.69867711905928,?
datasetWeka,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1955.0,86.0,0.0,95.78637922586967,4.213620774130328,0.0,0.5760630666750388,0.07943655071043634,0.18710054624373387,74.23599920052361,80.81155881339576,642.4068193055857,2511.9564818379367,-1869.549662532351,0.31475101386848886,1.230747908788798,-0.9159968949203092,-262.53801965475003,-0.12863205274608036,-40.867875583659334,0.9823376623376623,1891.0,0.4482758620689655,52.0,0.5517241379310345,64.0,0.017662337662337664,34.0,0.9732372619660319,0.9823376623376623,0.9777662874870734,0.5783442721962062,0.9244670846394984,0.993472062894524,0.9578637922586967,0.4238019919899999,0.5761980080100001,0.042136207741303285,0.9550400937410229,0.9578637922586967,0.9561897506039734,0.5783442721962063,0.9244670846394984,0.9739691063778247,0.7879485643042843,0.9578637922586967,2.759,0.061,2.724581468,0.061788083,2724.581468,61.788083,1.1318134E7,3621207.0,404197.0,99.4610485056345,64.03723664870162,?
datasetWeka,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.InfoGainAttributeEval \\\\\\\" -S \\\\\\\"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\\\\\\\"\\\" -F \\\"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02605041E7,18371.0,2041.0,1947.0,94.0,0.0,95.39441450269476,4.605585497305243,0.0,0.5064366420383213,0.08573248407643327,0.19646633321816762,80.11975044783567,84.85678401510218,642.4068193055857,2553.382429681234,-1910.9756103756483,0.31475101386848886,1.2510447965121185,-0.9362937826436297,-316.9396397909719,-0.15528644771728167,-49.336281973714115,0.9838961038961039,1894.0,0.5431034482758621,63.0,0.45689655172413796,53.0,0.016103896103896103,31.0,0.9678078691875319,0.9838961038961039,0.9757856774858321,0.5137403242290919,0.9085915808329601,0.9921373873166587,0.9539441450269476,0.5131514894067059,0.48684851059329426,0.046055854973052424,0.9486627262991059,0.9539441450269476,0.9504494998335262,0.5137403242290919,0.9085915808329601,0.9669876934956586,0.7528928387429161,0.9539441450269476,2.75,0.06,2.704765411,0.06006592,2704.765411,60.06592,1.1193443E7,3621207.0,404197.0,99.36305732484077,64.77217050465458,?
